,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,
M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3,,M4,M1,M2,M3,M4,M1,M2,M3,M4,M1,M2,M3
46096,3/22/2026,3/29/2026,4/5/2026,4/12/2026,4/19/2026,4/26/2026,5/3/2026,5/10/2026,5/17/2026,5/24/2026,5/31/2026,6/7/2026,6/14/2026,6/21/2026,6/28/2026,7/5/2026,7/12/2026,7/19/2026,7/26/2026,8/2/2026,8/9/2026,8/16/2026,8/23/2026,8/30/2026,9/6/2026,9/13/2026,9/20/2026,9/27/2026
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32,,45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32,45/64,17/32
9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64,,9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64,9/16,33/64
29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64,,29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64,29/64,27/64
23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64,,23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64,23/64,21/64
19/64,7/32,19/64,17/64,19/64,7/32,19/64,17/64,19/64,7/32,19/64,17/64,19/64,7/32,19/64,17/64,,19/64,7/32,19/64,17/64,19/64,7/32,19/64,17/64,19/64,7/32,19/64,17/64
23/32,15/64,23/32,7/32,23/32,15/64,23/32,7/32,23/32,15/64,23/32,7/32,23/32,15/64,23/32,7/32,,23/32,15/64,23/32,7/32,23/32,15/64,23/32,7/32,23/32,15/64,23/32,7/32
14.5MM,1/4,14.5MM,5.5MM,14.5MM,1/4,14.5MM,5.5MM,14.5MM,1/4,14.5MM,5.5MM,14.5MM,1/4,14.5MM,5.5MM,,14.5MM,1/4,14.5MM,5.5MM,14.5MM,1/4,14.5MM,5.5MM,14.5MM,1/4,14.5MM,5.5MM
37/64,6.5MM,37/64,11/16,37/64,6.5MM,37/64,11/16,37/64,6.5MM,37/64,11/16,37/64,6.5MM,37/64,11/16,,37/64,6.5MM,37/64,11/16,37/64,6.5MM,37/64,11/16,37/64,6.5MM,37/64,11/16
15/32,11/16,15/32,35/64,15/32,11/16,15/32,35/64,15/32,11/16,15/32,35/64,15/32,11/16,15/32,35/64,,15/32,11/16,15/32,35/64,15/32,11/16,15/32,35/64,15/32,11/16,15/32,35/64
3/8,35/64,3/8,7/16,3/8,35/64,3/8,7/16,3/8,35/64,3/8,7/16,3/8,35/64,3/8,7/16,,3/8,35/64,3/8,7/16,3/8,35/64,3/8,7/16,3/8,35/64,3/8,7/16
3/4,7/16,3/4,8.5MM,3/4,7/16,3/4,8.5MM,3/4,7/16,3/4,8.5MM,3/4,7/16,3/4,8.5MM,,3/4,7/16,3/4,8.5MM,3/4,7/16,3/4,8.5MM,3/4,7/16,3/4,8.5MM
39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32,,39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32,39/64,11/32
31/64,25/32,31/64,9/32,31/64,25/32,31/64,9/32,31/64,25/32,31/64,9/32,31/64,25/32,31/64,9/32,,31/64,25/32,31/64,9/32,31/64,25/32,31/64,9/32,31/64,25/32,31/64,9/32
25/64,5/8,25/64,25/32,25/64,5/8,25/64,25/32,25/64,5/8,25/64,25/32,25/64,5/8,25/64,25/32,,25/64,5/8,25/64,25/32,25/64,5/8,25/64,25/32,25/64,5/8,25/64,25/32
5/16,12.5MM,5/16,16MM,5/16,12.5MM,5/16,16MM,5/16,12.5MM,5/16,16MM,5/16,12.5MM,5/16,16MM,,5/16,12.5MM,5/16,16MM,5/16,12.5MM,5/16,16MM,5/16,12.5MM,5/16,16MM
51/64,1/2,51/64,5/8,51/64,1/2,51/64,5/8,51/64,1/2,51/64,5/8,51/64,1/2,51/64,5/8,,51/64,1/2,51/64,5/8,51/64,1/2,51/64,5/8,51/64,1/2,51/64,5/8
41/64,13/32,41/64,1/2,41/64,13/32,41/64,1/2,41/64,13/32,41/64,1/2,41/64,13/32,41/64,1/2,,41/64,13/32,41/64,1/2,41/64,13/32,41/64,1/2,41/64,13/32,41/64,1/2
13/16,47/64,13/16,13/32,13/16,47/64,13/16,13/32,13/16,47/64,13/16,13/32,13/16,47/64,13/16,13/32,,13/16,47/64,13/16,13/32,13/16,47/64,13/16,13/32,13/16,47/64,13/16,13/32
21/32,19/32,21/32,47/64,21/32,19/32,21/32,47/64,21/32,19/32,21/32,47/64,21/32,19/32,21/32,47/64,,21/32,19/32,21/32,47/64,21/32,19/32,21/32,47/64,21/32,19/32,21/32,47/64
53/64,49/64,53/64,19/32,53/64,49/64,53/64,19/32,53/64,49/64,53/64,19/32,53/64,49/64,53/64,19/32,,53/64,49/64,53/64,19/32,53/64,49/64,53/64,19/32,53/64,49/64,53/64,19/32
27/32,31/32,27/32,49/64,27/32,31/32,27/32,49/64,27/32,31/32,27/32,49/64,27/32,31/32,27/32,49/64,,27/32,31/32,27/32,49/64,27/32,31/32,27/32,49/64,27/32,31/32,27/32,49/64
 43/64,63/64,55/64,31/32, 43/64,63/64,55/64,31/32, 43/64,63/64,55/64,31/32, 43/64,63/64,55/64,31/32,, 43/64,63/64,55/64,31/32, 43/64,63/64,55/64,31/32, 43/64,63/64,55/64,31/32
55/64,1,7/8,63/64,55/64,1,7/8,63/64,55/64,1,7/8,63/64,55/64,1,7/8,63/64,,55/64,1,7/8,63/64,55/64,1,7/8,63/64,55/64,1,7/8,63/64
7/8,25.6MM,57/64,1,7/8,25.6MM,57/64,1,7/8,25.6MM,57/64,1,7/8,25.6MM,57/64,1,,7/8,25.6MM,57/64,1,7/8,25.6MM,57/64,1,7/8,25.6MM,57/64,1
57/64,1-1/64,29/32,25.6MM,57/64,1-1/64,29/32,25.6MM,57/64,1-1/64,29/32,25.6MM,57/64,1-1/64,29/32,25.6MM,,57/64,1-1/64,29/32,25.6MM,57/64,1-1/64,29/32,25.6MM,57/64,1-1/64,29/32,25.6MM
29/32,1-1/32,59/64,1-1/64,29/32,1-1/32,59/64,1-1/64,29/32,1-1/32,59/64,1-1/64,29/32,1-1/32,59/64,1-1/64,,29/32,1-1/32,59/64,1-1/64,29/32,1-1/32,59/64,1-1/64,29/32,1-1/32,59/64,1-1/64
59/64,1-3/64,15/16,1-1/32,59/64,1-3/64,15/16,1-1/32,59/64,1-3/64,15/16,1-1/32,59/64,1-3/64,15/16,1-1/32,,59/64,1-3/64,15/16,1-1/32,59/64,1-3/64,15/16,1-1/32,59/64,1-3/64,15/16,1-1/32
15/16,1-1/16,61/64,,15/16,1-1/16,61/64,,15/16,1-1/16,61/64,,15/16,1-1/16,61/64,,,15/16,1-1/16,61/64,,15/16,1-1/16,61/64,,15/16,1-1/16,61/64,
61/64,1-5/64,1-15/64,,61/64,1-5/64,1-15/64,,61/64,1-5/64,1-15/64,,61/64,1-5/64,1-15/64,,,61/64,1-5/64,1-15/64,,61/64,1-5/64,1-15/64,,61/64,1-5/64,1-15/64,
1-11/32,1-3/32,1-1/4,,1-11/32,1-3/32,1-1/4,,1-11/32,1-3/32,1-1/4,,1-11/32,1-3/32,1-1/4,,,1-11/32,1-3/32,1-1/4,,1-11/32,1-3/32,1-1/4,,1-11/32,1-3/32,1-1/4,
1-23/64,1-7/64,1-17/64,,1-23/64,1-7/64,1-17/64,,1-23/64,1-7/64,1-17/64,,1-23/64,1-7/64,1-17/64,,,1-23/64,1-7/64,1-17/64,,1-23/64,1-7/64,1-17/64,,1-23/64,1-7/64,1-17/64,
1-3/8,1-1/8,1-9/32,,1-3/8,1-1/8,1-9/32,,1-3/8,1-1/8,1-9/32,,1-3/8,1-1/8,1-9/32,,,1-3/8,1-1/8,1-9/32,,1-3/8,1-1/8,1-9/32,,1-3/8,1-1/8,1-9/32,
1-15/64,,1-19/64,,1-15/64,,1-19/64,,1-15/64,,1-19/64,,1-15/64,,1-19/64,,,1-15/64,,1-19/64,,1-15/64,,1-19/64,,1-15/64,,1-19/64,
1-1/4,,1-5/16,,1-1/4,,1-5/16,,1-1/4,,1-5/16,,1-1/4,,1-5/16,,,1-1/4,,1-5/16,,1-1/4,,1-5/16,,1-1/4,,1-5/16,
